gender,period,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
#vrai nom,age,age2,xpr,xpr2,chomage5,invalide5,inactif5,enf,ageenf,cons
0,.2074616,-.0031176,.2008269,-.0036948,.0094146,-.1086035,-2.413274,.0347431,-.267681,.0144836,-.2694058
1,.5429806,-.0087795,.329977,-.0049164,-.0461024,-.2510275,-2.714137,-.0001909,-3.80344,0,0
2,.0695835,-.0011465,.1324692,-.0026305,-1.444096,-1.719749,-.2249023,.0320526,-.0146315,.0043879,.8458199
3,.0289479,-.0006966,.1678425,-.0032646,-1.608885,-2.160982,-.01319,.0258766,1.881948,0,0
4,.0554548,-.000354,-.0984632,.0017665,1.771188,-1.979268,.1221866,-.0307923,.1338114,-.0002163,.2589882
5,.0535406,-.0006011,-.1260531,.002228,1.82092,-2.163695,.0611215,.0298742,.2483597,0,0
6,-.2537553,.0026105,-.0385773,.0013969,-.2626638,.7877383,-.3183881,.0936228,-.1431168,-.0044617,8.14232
7,-.3015734,.0031099,-.0398104,.0011845,-.3001071,.8236737,-.9207886,.1216008,7.671122,0,0
8,.2588389,-.0027697,-.030886,.0002064,-.7430821,-2.486359,.1890693,.2689315,.4741588,.0199059,-11.71593
9,.3799289,-.002149,-.1958029,.0002147,-.6165224,-3.295812,.8302297,.0911875,-11.03602,0,0
10,.0801246,-.0017164,.0656478,.0000883,-.4394802,-.3773968,-.2444435,.2961896,-1.566319,.0230622,-8.812301
11,.1653566,-.0016097,-.0331891,-.0001706,-.4145414,-.6371623,-.329577,.1882712,-7.5635,0,0
12,.0904782,.0005054,-.1415277,-.0003641,-.4683508,-.4743354,-.2044287,-.0623429,-.1914959,-.0041649,.4946432
13,-.0129844,.0012511,-.0800435,-.0005097,-.426505,-.0418389,-.1064205,-.1130152,3.291453,0,0
