gender,period,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,0.1653722,-0.0024202,0.1546617,-0.0030716,-1.541139,-2.151103,-1.24887,0.0186198,-0.3709048,0,0
0,0.1068769,-0.0016145,0.1489789,-0.0030928,-1.353915,-1.662291,-1.246066,.0304408,-0.06374,0.0062284,-0.0429101
















































































































































































































































# total M,,0.490664662,0.505266497,0.498669554,0.477229395,0.480057579,0.490997012,0.499670643,0.494837446,0.490871744,0.490867071,0.490877403,0.490861805,0.490889603,0.490887211,0.490906395,0.49088655,0.49089393,0.490876011,0.490890744,0.49090127,0.490897599,0.490892433,0.490881351,0.49090565,0.49086865,0.490875064,0.490878861,0.490849462,0.49087511,0.490898685,0.490904721,0.490883176,0.490900096,0.490860554,0.490904028,0.490926279,0.490938649,0.490899422,0.490898034,0.490897389,0.49087615,0.490828712,0.490892777,0.490873525,0.490894436,0.490884133,0.490893579,0.490876359,0.490883063,0.49091412,0.490891521,0.490890784,0.490892607,0.490869667,0.490905272,0.490882483,0.490894164,0.490888999,0.490906591,0.490894569,0.490894632
# total,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
